epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,12100.3,1.01194,0.58524,0.96888,0.73809,0.68532,0.71329,0.44038,1.33543,0.96757,1.12637,0.000221781,0.000221781,0.000221781
66,12287.2,0.97712,0.54213,0.97313,0.7466,0.68246,0.72234,0.44461,1.34329,0.9866,1.12827,0.000202918,0.000202918,0.000202918
67,12472.5,0.96948,0.5546,0.96093,0.712,0.69718,0.71365,0.43697,1.35791,1.00571,1.12657,0.000184055,0.000184055,0.000184055
68,12657.5,0.96214,0.54985,0.97265,0.76034,0.67092,0.71607,0.44847,1.32193,0.98219,1.11854,0.000165192,0.000165192,0.000165192
69,12842.8,0.95225,0.53809,0.95767,0.66909,0.72157,0.70425,0.43058,1.32789,1.0578,1.1234,0.00014633,0.00014633,0.00014633
70,13027.9,0.94892,0.52687,0.9584,0.73898,0.68804,0.71026,0.43962,1.29157,1.00856,1.10538,0.000127467,0.000127467,0.000127467
71,13213,0.92887,0.51247,0.94665,0.75483,0.68444,0.71122,0.43506,1.32751,1.01503,1.12032,0.000108604,0.000108604,0.000108604
72,13398.1,0.94831,0.5268,0.96056,0.74755,0.67759,0.71811,0.44799,1.29664,1.00604,1.10249,8.97412e-05,8.97412e-05,8.97412e-05
73,13583.2,0.92582,0.51312,0.95024,0.6762,0.72191,0.71137,0.442,1.31958,1.01831,1.11954,7.08784e-05,7.08784e-05,7.08784e-05
74,13768.2,0.93396,0.52386,0.95275,0.74962,0.67136,0.71219,0.4426,1.32254,1.02555,1.12156,5.20156e-05,5.20156e-05,5.20156e-05
75,13953.2,0.91696,0.51253,0.94818,0.67287,0.74186,0.7177,0.44282,1.34063,1.01508,1.12189,3.31528e-05,3.31528e-05,3.31528e-05
